sheet_id,page,slot,slot_name,image_path,char,yomi,style,note
KAI4_p019,19,3,left_top,data/images/KAI4_p019_03.png,,,,
KAI4_p019,19,4,left_bottom,data/images/KAI4_p019_04.png,,,,
KAI4_p020,20,1,right_top,data/images/KAI4_p020_01.png,,,,
KAI4_p020,20,2,right_bottom,data/images/KAI4_p020_02.png,,,,
KAI4_p020,20,3,left_top,data/images/KAI4_p020_03.png,,,,
KAI4_p020,20,4,left_bottom,data/images/KAI4_p020_04.png,,,,
KAI4_p021,21,1,right_top,data/images/KAI4_p021_01.png,,,,
KAI4_p021,21,2,right_bottom,data/images/KAI4_p021_02.png,,,,
KAI4_p021,21,3,left_top,data/images/KAI4_p021_03.png,,,,
KAI4_p021,21,4,left_bottom,data/images/KAI4_p021_04.png,,,,
KAI4_p022,22,1,right_top,data/images/KAI4_p022_01.png,,,,
KAI4_p022,22,2,right_bottom,data/images/KAI4_p022_02.png,,,,
KAI4_p022,22,3,left_top,data/images/KAI4_p022_03.png,,,,
KAI4_p022,22,4,left_bottom,data/images/KAI4_p022_04.png,,,,
KAI4_p023,23,1,right_top,data/images/KAI4_p023_01.png,,,,
KAI4_p023,23,2,right_bottom,data/images/KAI4_p023_02.png,,,,
KAI4_p023,23,3,left_top,data/images/KAI4_p023_03.png,,,,
KAI4_p023,23,4,left_bottom,data/images/KAI4_p023_04.png,,,,
KAI4_p024,24,1,right_top,data/images/KAI4_p024_01.png,,,,
KAI4_p024,24,2,right_bottom,data/images/KAI4_p024_02.png,,,,
KAI4_p024,24,3,left_top,data/images/KAI4_p024_03.png,,,,
KAI4_p024,24,4,left_bottom,data/images/KAI4_p024_04.png,,,,
KAI4_p025,25,1,right_top,data/images/KAI4_p025_01.png,,,,
KAI4_p025,25,2,right_bottom,data/images/KAI4_p025_02.png,,,,
KAI4_p025,25,3,left_top,data/images/KAI4_p025_03.png,,,,
KAI4_p025,25,4,left_bottom,data/images/KAI4_p025_04.png,,,,
KAI4_p026,26,1,right_top,data/images/KAI4_p026_01.png,,,,
KAI4_p026,26,2,right_bottom,data/images/KAI4_p026_02.png,,,,
KAI4_p026,26,3,left_top,data/images/KAI4_p026_03.png,,,,
KAI4_p026,26,4,left_bottom,data/images/KAI4_p026_04.png,,,,
KAI4_p027,27,1,right_top,data/images/KAI4_p027_01.png,,,,
KAI4_p027,27,2,right_bottom,data/images/KAI4_p027_02.png,,,,
KAI4_p027,27,3,left_top,data/images/KAI4_p027_03.png,,,,
KAI4_p027,27,4,left_bottom,data/images/KAI4_p027_04.png,,,,
KAI4_p028,28,1,right_top,data/images/KAI4_p028_01.png,,,,
KAI4_p028,28,2,right_bottom,data/images/KAI4_p028_02.png,,,,
KAI4_p028,28,3,left_top,data/images/KAI4_p028_03.png,,,,
KAI4_p028,28,4,left_bottom,data/images/KAI4_p028_04.png,,,,
KAI4_p029,29,1,right_top,data/images/KAI4_p029_01.png,,,,
KAI4_p029,29,2,right_bottom,data/images/KAI4_p029_02.png,,,,
KAI4_p029,29,3,left_top,data/images/KAI4_p029_03.png,,,,
KAI4_p029,29,4,left_bottom,data/images/KAI4_p029_04.png,,,,
KAI4_p030,30,1,right_top,data/images/KAI4_p030_01.png,,,,
KAI4_p030,30,2,right_bottom,data/images/KAI4_p030_02.png,,,,
KAI4_p030,30,3,left_top,data/images/KAI4_p030_03.png,,,,
KAI4_p030,30,4,left_bottom,data/images/KAI4_p030_04.png,,,,
KAI4_p031,31,1,right_top,data/images/KAI4_p031_01.png,,,,
KAI4_p031,31,2,right_bottom,data/images/KAI4_p031_02.png,,,,
KAI4_p031,31,3,left_top,data/images/KAI4_p031_03.png,,,,
KAI4_p031,31,4,left_bottom,data/images/KAI4_p031_04.png,,,,
KAI4_p032,32,1,right_top,data/images/KAI4_p032_01.png,,,,
KAI4_p032,32,2,right_bottom,data/images/KAI4_p032_02.png,,,,
KAI4_p032,32,3,left_top,data/images/KAI4_p032_03.png,,,,
KAI4_p032,32,4,left_bottom,data/images/KAI4_p032_04.png,,,,
KAI4_p033,33,1,right_top,data/images/KAI4_p033_01.png,,,,
KAI4_p033,33,2,right_bottom,data/images/KAI4_p033_02.png,,,,
KAI4_p033,33,3,left_top,data/images/KAI4_p033_03.png,,,,
KAI4_p033,33,4,left_bottom,data/images/KAI4_p033_04.png,,,,
KAI4_p034,34,1,right_top,data/images/KAI4_p034_01.png,,,,
KAI4_p034,34,2,right_bottom,data/images/KAI4_p034_02.png,,,,
KAI4_p034,34,3,left_top,data/images/KAI4_p034_03.png,,,,
KAI4_p034,34,4,left_bottom,data/images/KAI4_p034_04.png,,,,
KAI4_p035,35,1,right_top,data/images/KAI4_p035_01.png,,,,
KAI4_p035,35,2,right_bottom,data/images/KAI4_p035_02.png,,,,
KAI4_p035,35,3,left_top,data/images/KAI4_p035_03.png,,,,
KAI4_p035,35,4,left_bottom,data/images/KAI4_p035_04.png,,,,
KAI4_p036,36,1,right_top,data/images/KAI4_p036_01.png,,,,
KAI4_p036,36,2,right_bottom,data/images/KAI4_p036_02.png,,,,
KAI4_p036,36,3,left_top,data/images/KAI4_p036_03.png,,,,
KAI4_p036,36,4,left_bottom,data/images/KAI4_p036_04.png,,,,
KAI4_p037,37,1,right_top,data/images/KAI4_p037_01.png,,,,
KAI4_p037,37,2,right_bottom,data/images/KAI4_p037_02.png,,,,
KAI4_p037,37,3,left_top,data/images/KAI4_p037_03.png,,,,
KAI4_p037,37,4,left_bottom,data/images/KAI4_p037_04.png,,,,
KAI4_p038,38,1,right_top,data/images/KAI4_p038_01.png,,,,
KAI4_p038,38,2,right_bottom,data/images/KAI4_p038_02.png,,,,
KAI4_p038,38,3,left_top,data/images/KAI4_p038_03.png,,,,
KAI4_p038,38,4,left_bottom,data/images/KAI4_p038_04.png,,,,
KAI4_p039,39,1,right_top,data/images/KAI4_p039_01.png,,,,
KAI4_p039,39,2,right_bottom,data/images/KAI4_p039_02.png,,,,
KAI4_p039,39,3,left_top,data/images/KAI4_p039_03.png,,,,
KAI4_p039,39,4,left_bottom,data/images/KAI4_p039_04.png,,,,
KAI4_p040,40,1,right_top,data/images/KAI4_p040_01.png,,,,
KAI4_p040,40,2,right_bottom,data/images/KAI4_p040_02.png,,,,
KAI4_p040,40,3,left_top,data/images/KAI4_p040_03.png,,,,
KAI4_p040,40,4,left_bottom,data/images/KAI4_p040_04.png,,,,
KAI4_p041,41,1,right_top,data/images/KAI4_p041_01.png,,,,
KAI4_p041,41,2,right_bottom,data/images/KAI4_p041_02.png,,,,
KAI4_p041,41,3,left_top,data/images/KAI4_p041_03.png,,,,
KAI4_p041,41,4,left_bottom,data/images/KAI4_p041_04.png,,,,
KAI4_p042,42,1,right_top,data/images/KAI4_p042_01.png,,,,
KAI4_p042,42,2,right_bottom,data/images/KAI4_p042_02.png,,,,
KAI4_p042,42,3,left_top,data/images/KAI4_p042_03.png,,,,
KAI4_p042,42,4,left_bottom,data/images/KAI4_p042_04.png,,,,
KAI4_p043,43,1,right_top,data/images/KAI4_p043_01.png,,,,
KAI4_p043,43,2,right_bottom,data/images/KAI4_p043_02.png,,,,
KAI4_p043,43,3,left_top,data/images/KAI4_p043_03.png,,,,
KAI4_p043,43,4,left_bottom,data/images/KAI4_p043_04.png,,,,
KAI4_p044,44,1,right_top,data/images/KAI4_p044_01.png,,,,
KAI4_p044,44,2,right_bottom,data/images/KAI4_p044_02.png,,,,
KAI4_p044,44,3,left_top,data/images/KAI4_p044_03.png,,,,
KAI4_p044,44,4,left_bottom,data/images/KAI4_p044_04.png,,,,
KAI4_p045,45,1,right_top,data/images/KAI4_p045_01.png,,,,
KAI4_p045,45,2,right_bottom,data/images/KAI4_p045_02.png,,,,
KAI4_p045,45,3,left_top,data/images/KAI4_p045_03.png,,,,
KAI4_p045,45,4,left_bottom,data/images/KAI4_p045_04.png,,,,
KAI4_p046,46,1,right_top,data/images/KAI4_p046_01.png,,,,
KAI4_p046,46,2,right_bottom,data/images/KAI4_p046_02.png,,,,
KAI4_p046,46,3,left_top,data/images/KAI4_p046_03.png,,,,
KAI4_p046,46,4,left_bottom,data/images/KAI4_p046_04.png,,,,
KAI4_p047,47,1,right_top,data/images/KAI4_p047_01.png,,,,
KAI4_p047,47,2,right_bottom,data/images/KAI4_p047_02.png,,,,
KAI4_p047,47,3,left_top,data/images/KAI4_p047_03.png,,,,
KAI4_p047,47,4,left_bottom,data/images/KAI4_p047_04.png,,,,
KAI4_p048,48,1,right_top,data/images/KAI4_p048_01.png,,,,
