sheet_id,page,slot,slot_name,image_path,char,yomi,style,note
KAI_p019,19,2,right_middle,data/images/KAI_p019_02.png,,,,
KAI_p019,19,3,right_bottom,data/images/KAI_p019_03.png,,,,
KAI_p019,19,4,left_top,data/images/KAI_p019_04.png,,,,
KAI_p019,19,5,left_middle,data/images/KAI_p019_05.png,,,,
KAI_p020,20,1,right_top,data/images/KAI_p020_01.png,,,,
KAI_p020,20,2,right_middle,data/images/KAI_p020_02.png,,,,
KAI_p020,20,3,right_bottom,data/images/KAI_p020_03.png,,,,
KAI_p020,20,4,left_top,data/images/KAI_p020_04.png,,,,
KAI_p020,20,5,left_middle,data/images/KAI_p020_05.png,,,,
KAI_p021,21,1,right_top,data/images/KAI_p021_01.png,,,,
KAI_p021,21,2,right_middle,data/images/KAI_p021_02.png,,,,
KAI_p021,21,3,right_bottom,data/images/KAI_p021_03.png,,,,
KAI_p021,21,4,left_top,data/images/KAI_p021_04.png,,,,
KAI_p021,21,5,left_middle,data/images/KAI_p021_05.png,,,,
KAI_p022,22,1,right_top,data/images/KAI_p022_01.png,,,,
KAI_p022,22,2,right_middle,data/images/KAI_p022_02.png,,,,
KAI_p022,22,3,right_bottom,data/images/KAI_p022_03.png,,,,
KAI_p022,22,4,left_top,data/images/KAI_p022_04.png,,,,
KAI_p022,22,5,left_middle,data/images/KAI_p022_05.png,,,,
KAI_p023,23,1,right_top,data/images/KAI_p023_01.png,,,,
KAI_p023,23,2,right_middle,data/images/KAI_p023_02.png,,,,
KAI_p023,23,3,right_bottom,data/images/KAI_p023_03.png,,,,
KAI_p023,23,4,left_top,data/images/KAI_p023_04.png,,,,
KAI_p023,23,5,left_middle,data/images/KAI_p023_05.png,,,,
KAI_p024,24,1,right_top,data/images/KAI_p024_01.png,,,,
KAI_p024,24,2,right_middle,data/images/KAI_p024_02.png,,,,
KAI_p024,24,3,right_bottom,data/images/KAI_p024_03.png,,,,
KAI_p024,24,4,left_top,data/images/KAI_p024_04.png,,,,
KAI_p024,24,5,left_middle,data/images/KAI_p024_05.png,,,,
KAI_p025,25,1,right_top,data/images/KAI_p025_01.png,,,,
KAI_p025,25,2,right_middle,data/images/KAI_p025_02.png,,,,
KAI_p025,25,3,right_bottom,data/images/KAI_p025_03.png,,,,
KAI_p025,25,4,left_top,data/images/KAI_p025_04.png,,,,
KAI_p025,25,5,left_middle,data/images/KAI_p025_05.png,,,,
KAI_p026,26,1,right_top,data/images/KAI_p026_01.png,,,,
KAI_p026,26,2,right_middle,data/images/KAI_p026_02.png,,,,
KAI_p026,26,3,right_bottom,data/images/KAI_p026_03.png,,,,
KAI_p026,26,4,left_top,data/images/KAI_p026_04.png,,,,
KAI_p026,26,5,left_middle,data/images/KAI_p026_05.png,,,,
KAI_p027,27,1,right_top,data/images/KAI_p027_01.png,,,,
KAI_p027,27,2,right_middle,data/images/KAI_p027_02.png,,,,
KAI_p027,27,3,right_bottom,data/images/KAI_p027_03.png,,,,
KAI_p027,27,4,left_top,data/images/KAI_p027_04.png,,,,
KAI_p027,27,5,left_middle,data/images/KAI_p027_05.png,,,,
KAI_p028,28,1,right_top,data/images/KAI_p028_01.png,,,,
KAI_p028,28,2,right_middle,data/images/KAI_p028_02.png,,,,
KAI_p028,28,3,right_bottom,data/images/KAI_p028_03.png,,,,
KAI_p028,28,4,left_top,data/images/KAI_p028_04.png,,,,
KAI_p028,28,5,left_middle,data/images/KAI_p028_05.png,,,,
KAI_p029,29,1,right_top,data/images/KAI_p029_01.png,,,,
KAI_p029,29,2,right_middle,data/images/KAI_p029_02.png,,,,
KAI_p029,29,3,right_bottom,data/images/KAI_p029_03.png,,,,
KAI_p029,29,4,left_top,data/images/KAI_p029_04.png,,,,
KAI_p029,29,5,left_middle,data/images/KAI_p029_05.png,,,,
KAI_p030,30,1,right_top,data/images/KAI_p030_01.png,,,,
KAI_p030,30,2,right_middle,data/images/KAI_p030_02.png,,,,
KAI_p030,30,3,right_bottom,data/images/KAI_p030_03.png,,,,
KAI_p030,30,4,left_top,data/images/KAI_p030_04.png,,,,
KAI_p030,30,5,left_middle,data/images/KAI_p030_05.png,,,,
